,VariantProductName,Price,ProductID,ProductName
0,1363418.1Maxi Adult (15 kg),55.99,1363418,Royal Canin Size 15 kg + Corda Trixie cinza grátis!
1,1363418.0Medium Adult (15 kg),55.99,1363418,Royal Canin Size 15 kg + Corda Trixie cinza grátis!
2,1363418.3Giant Adult (15 kg),53.49,1363418,Royal Canin Size 15 kg + Corda Trixie cinza grátis!
3,1363418.2Maxi Puppy (15 kg),59.99,1363418,Royal Canin Size 15 kg + Corda Trixie cinza grátis!
4,1363418.4Maxi Adult 5+ (15 kg),56.49,1363418,Royal Canin Size 15 kg + Corda Trixie cinza grátis!
5,1369786.4Maxi Adult (15 kg) + Maxi Adult (10 x 140 g),55.99,1369786,Royal Canin Size de 8 kg a 15 kg ração + 12 x 85 g/10 x 140 g saquetas gratis!
6,1369786.3Maxi Ageing 8+ (15 kg) + Maxi Ageing (10 x 140 g),59.99,1369786,Royal Canin Size de 8 kg a 15 kg ração + 12 x 85 g/10 x 140 g saquetas gratis!
7,1369786.2Medium Adult (15 kg) + Medium Adult (10 x 140 g),55.99,1369786,Royal Canin Size de 8 kg a 15 kg ração + 12 x 85 g/10 x 140 g saquetas gratis!
8,1369786.0Medium Adult 7+ (15 kg) + Medium Adult (10 x 140 g),57.49,1369786,Royal Canin Size de 8 kg a 15 kg ração + 12 x 85 g/10 x 140 g saquetas gratis!
9,1369786.5Mini Adult (8 kg) + Mini Adult (12 x 85 g),36.99,1369786,Royal Canin Size de 8 kg a 15 kg ração + 12 x 85 g/10 x 140 g saquetas gratis!
10,1369865.6Mini Puppy (8 kg) + Mini Puppy (12 x 85 g),38.99,1369865,Royal Canin Size 8 kg/15 kg ração para cães + comida húmida grátis!
11,1369865.2Medium Starter Mother & Babydog (15 kg)  + Starter Mousse (12 x 195 g),71.49,1369865,Royal Canin Size 8 kg/15 kg ração para cães + comida húmida grátis!
12,1369865.1Medium Puppy / Junior (15 kg) + Medium Puppy (10 x 140 g),61.99,1369865,Royal Canin Size 8 kg/15 kg ração para cães + comida húmida grátis!
13,1369865.7Maxi Starter Mother & Babydog (15 kg) + Starter Mousse (12 x 195 g),64.99,1369865,Royal Canin Size 8 kg/15 kg ração para cães + comida húmida grátis!
14,1369865.3Maxi Puppy (15 kg) + Maxi Puppy (10 x 140 g),59.99,1369865,Royal Canin Size 8 kg/15 kg ração para cães + comida húmida grátis!
15,1322547.0Mini Adult (8 kg + 1 kg),36.99,1322547,Royal Canin Size 8 kg a 15 kg ração em promoção: 1 kg a 3 kg grátis! 
16,1322547.1Medium Adult (15 kg + 3 kg),55.99,1322547,Royal Canin Size 8 kg a 15 kg ração em promoção: 1 kg a 3 kg grátis! 
17,1322547.3Maxi Adult (15 kg + 3 kg),55.99,1322547,Royal Canin Size 8 kg a 15 kg ração em promoção: 1 kg a 3 kg grátis! 
18,1322547.2Giant Adult (15 kg + 3 kg),53.49,1322547,Royal Canin Size 8 kg a 15 kg ração em promoção: 1 kg a 3 kg grátis! 
19,1371848.1Mini (2 kg),10.49,1371848,Royal Canin Puppy 2 kg/4 kg ração para cães com grande desconto! 
20,1371848.2Medium (4 kg),16.79,1371848,Royal Canin Puppy 2 kg/4 kg ração para cães com grande desconto! 
21,361560.134 kg,18.29,361560,Royal Canin Maxi Adult
22,361560.1615 kg,55.99,361560,Royal Canin Maxi Adult
23,361560.17Pack económico: 2 x 15 kg,108.99,361560,Royal Canin Maxi Adult
24,361561.1415 kg,59.99,361561,Royal Canin Maxi Puppy
25,361561.15Pack económico: 2 x 15 kg,117.99,361561,Royal Canin Maxi Puppy
26,361562.1215 kg,56.49,361562,Royal Canin Maxi Adult 5+
27,361562.13Pack económico: 2 x 15 kg,111.99,361562,Royal Canin Maxi Adult 5+
28,361564.715 kg,59.99,361564,Royal Canin Maxi Ageing 8+
29,361564.8Pack económico: 2 x 15 kg,118.99,361564,Royal Canin Maxi Ageing 8+
30,696055.010 x 140 g,12.79,696055,Royal Canin Maxi Adult comida húmida para cães
31,696055.1Pack económico: 20 x 140 g,23.99,696055,Royal Canin Maxi Adult comida húmida para cães
32,696055.2Megapack económico: 40 x 140 g,45.99,696055,Royal Canin Maxi Adult comida húmida para cães
33,361570.174 kg,18.99,361570,Royal Canin Medium Adult
34,361570.1815 kg,55.99,361570,Royal Canin Medium Adult
35,361570.19Pack económico: 2 x 15 kg,104.99,361570,Royal Canin Medium Adult
36,361571.1315 kg,61.99,361571,Royal Canin Medium Puppy
37,361571.14Pack económico: 2 x 15 kg,119.99,361571,Royal Canin Medium Puppy
38,361572.1215 kg,57.49,361572,Royal Canin Medium Adult 7+
39,361572.13Pack económico: 2 x 15 kg,112.99,361572,Royal Canin Medium Adult 7+
40,361574.615 kg,59.99,361574,Royal Canin Medium Ageing 10+
41,361574.7Pack económico: 2 x 15 kg,118.99,361574,Royal Canin Medium Ageing 10+
42,696051.210 x 140 g,13.49,696051,Royal Canin Medium Puppy comida húmida para cães
43,696051.1Pack económico: 20 x 140 g,23.99,696051,Royal Canin Medium Puppy comida húmida para cães
44,696051.310 x 140 g,13.49,696051,Royal Canin Medium Puppy comida húmida para cães
45,696051.4Pack económico: 20 x 140 g,23.99,696051,Royal Canin Medium Puppy comida húmida para cães
46,696051.5Megapack económico: 40 x 140 g ,44.49,696051,Royal Canin Medium Puppy comida húmida para cães
47,361578.42 kg,11.49,361578,Royal Canin Mini Adult
48,361578.114 kg,21.99,361578,Royal Canin Mini Adult
49,361578.88 kg,36.99,361578,Royal Canin Mini Adult
50,361578.9Pack económico: 2 x 8 kg,70.99,361578,Royal Canin Mini Adult
51,361579.162 kg,13.19,361579,Royal Canin Mini Puppy
52,361579.144 kg,22.99,361579,Royal Canin Mini Puppy
