,business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours
0,OPERATIONAL,"{'location': {'lat': 38.7524415, 'lng': -9.1776482}, 'viewport': {'northeast': {'lat': 38.75384402989272, 'lng': -9.17662357010728}, 'southwest': {'lat': 38.75114437010728, 'lng': -9.179323229892724}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Dog Park Bensaúde,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105862371580600368133"">A Google User</a>'], 'photo_reference': 'AeJbb3elJ4VeIZxAV5wDwWPpQ66pfLZrQyq0-zBo7D47mrS2QSJNI8L5i3B7zUs6mtpyrG-3lo7FsXsfibWEsS71SIUXY-6R3nDVCfXgFfbp77MeYv9j8p0pwblNxHwNWDkn2tvvvihCT5AsE9R6laSyEaei60hW0iDSkIbk4pXmZyKHePQj', 'width': 5312}]",ChIJI7OjDdgyGQ0RkFshPNI6eOc,"{'compound_code': 'QR2C+XW Lisbon', 'global_code': '8CCGQR2C+XW'}",2.0,ChIJI7OjDdgyGQ0RkFshPNI6eOc,GOOGLE,"['park', 'point_of_interest', 'establishment']",4,Lisbon,
1,OPERATIONAL,"{'location': {'lat': 38.7395869, 'lng': -9.137677900000002}, 'viewport': {'northeast': {'lat': 38.74088982989272, 'lng': -9.136490070107278}, 'southwest': {'lat': 38.73819017010728, 'lng': -9.139189729892722}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Dog Park,"[{'height': 1816, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116746793919397888732"">franciscosenae@hotmail.com</a>'], 'photo_reference': 'AeJbb3fnZDnNTkhoBRb-OrTJ9Y6Q6hEoguDgrAcIEM6omQjXWt-4reJMhs6WUxXo2KBuf_rXd7kNkFy37jgtxbViuv5wRe0SuwdLUdyjUZTxZ7askc-D4_Ne9IFVU6aQzqTPkduvIOKQImNrbWHorfkWHCicvvsgqf6__8DHyX3bsMblMUWu', 'width': 4032}]",ChIJORo5dhUzGQ0RjxGOpC3Jt7Q,"{'compound_code': 'PVQ6+RW Lisbon', 'global_code': '8CCGPVQ6+RW'}",4.5,ChIJORo5dhUzGQ0RjxGOpC3Jt7Q,GOOGLE,"['park', 'point_of_interest', 'establishment']",13,"R. Brás Pacheco 5A, Lisboa",{}
2,OPERATIONAL,"{'location': {'lat': 38.7217101, 'lng': -9.1395679}, 'viewport': {'northeast': {'lat': 38.72305687989272, 'lng': -9.13815677010728}, 'southwest': {'lat': 38.72035722010727, 'lng': -9.140856429892724}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Parque Canino,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100572176923898512769"">Tiaz Brandeiro de Matos</a>'], 'photo_reference': 'AeJbb3cR5aKqZyfmnnwrk03ZoDLmZEpbz4fSuJMSyqj7qDybC_ayRSHsOoFP6OCUOVfKhmhAnp5iiw0GVLcRvmvRtF3VRXD89P-9ZVowjJoAk_E8YdaVAG4SRtlMLajihhO6Yj99ZqEEV9DgscF_LgnhZiVAh7ySOijbexbUXYoHkEAV71pQ', 'width': 4032}]",ChIJJz_fhIQzGQ0RMUxVdSYpHeI,"{'compound_code': 'PVC6+M5 Lisbon', 'global_code': '8CCGPVC6+M5'}",4.1,ChIJJz_fhIQzGQ0RMUxVdSYpHeI,GOOGLE,"['park', 'point_of_interest', 'establishment']",33,Lisbon,{'open_now': True}
3,OPERATIONAL,"{'location': {'lat': 38.71469310000001, 'lng': -9.1695472}, 'viewport': {'northeast': {'lat': 38.71606742989272, 'lng': -9.16809332010728}, 'southwest': {'lat': 38.71336777010728, 'lng': -9.170792979892724}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Parque Canino dos Prazeres,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112276752319321138235"">J J</a>'], 'photo_reference': 'AeJbb3fvy3BwKgbBRrVLGRykBQV3MQPV2c9vXQDEgCJMDKTF95cun24HazBGUkGmrA93zRJhor6JlQssoAq4PYsIw4WEhnscqSTzzKdZCRohiG_MlzzMBgs43doUoo2mkWMq5UCAJpGvnTOfSSHvFdFuUHg5rxD_w8HZT8XopT2IkVOxX0nU', 'width': 4032}]",ChIJdxbMQ14zGQ0RIru40fiS_78,"{'compound_code': 'PR7J+V5 Lisbon', 'global_code': '8CCGPR7J+V5'}",4.0,ChIJdxbMQ14zGQ0RIru40fiS_78,GOOGLE,"['park', 'point_of_interest', 'establishment']",45,"Praça São João Bosco 558, Lisboa",{'open_now': True}
4,OPERATIONAL,"{'location': {'lat': 38.754967, 'lng': -9.1524769}, 'viewport': {'northeast': {'lat': 38.75621312989272, 'lng': -9.151382270107279}, 'southwest': {'lat': 38.75351347010728, 'lng': -9.154081929892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Parque Canino do Campo Grande,"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103476776575031691725"">Sónia Silva</a>'], 'photo_reference': 'AeJbb3d30C9V6wJaNfv9vqsUmNbDqVMvDBloyi-sbcSZer2r_8jNgLfWpIpCq_huqq4q9V8qZ1K7PiKWjuVt0J2IUY5W5NoW5KgL_8YtwGK_p0eZhVI7eC_fyhIvNExCl26H-fQXXtvuZp1oTSSRELQxVnMkzl4HFCYuVXIvSl6B9BWpSC7Y', 'width': 2199}]",ChIJUWS9lP0yGQ0RztrYdIa7Mcc,"{'compound_code': 'QR3X+X2 Lisbon', 'global_code': '8CCGQR3X+X2'}",4.2,ChIJUWS9lP0yGQ0RztrYdIa7Mcc,GOOGLE,"['park', 'point_of_interest', 'establishment']",936,"Campo Grande, Lisboa",{'open_now': True}
5,OPERATIONAL,"{'location': {'lat': 38.7126413, 'lng': -9.131390999999999}, 'viewport': {'northeast': {'lat': 38.71411902989272, 'lng': -9.129857470107277}, 'southwest': {'lat': 38.71141937010728, 'lng': -9.13255712989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Animacão - Parque Canino,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114627084433812249848"">A Google User</a>'], 'photo_reference': 'AeJbb3eXj_n1hag1dn2am7W5MZhdxFeMxt242s2tQYngh7oH8adPg2asH0QDd3H-VwJPmVvmLStZW96raBDM5f6ZnBhfmz_4DVhSRFB0Cq7C17xp_lBYY6LIal4yZ8z1SZhcP5Cot_704TQkzHO9xj15y54iOlX209OcbMnthEwlPD0bbZng', 'width': 3024}]",ChIJ52H7NIw1GQ0RM8F19GTGK3k,"{'compound_code': 'PV79+3C Lisbon', 'global_code': '8CCGPV79+3C'}",5.0,ChIJ52H7NIw1GQ0RM8F19GTGK3k,GOOGLE,"['park', 'point_of_interest', 'establishment']",10,"Pátio de Dom Fradique, Lisboa",{'open_now': True}
6,OPERATIONAL,"{'location': {'lat': 38.7544488, 'lng': -9.094521499999999}, 'viewport': {'northeast': {'lat': 38.75568622989272, 'lng': -9.093314920107277}, 'southwest': {'lat': 38.75298657010728, 'lng': -9.09601457989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Parque canino Sul,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104337528098504142386"">Liliana Rego</a>'], 'photo_reference': 'AeJbb3e-A0GrUd4b3xZugnMCBdlcDvpbuI-_gepI7amgw7SGx3vaLevE6aYB000GilBvsFNPUu50mLZISLdVUw9GBUVlmUdk3FAvixYLtJM4Osqdj_8lEDjTT3R51-nzOA_c8ZFC4ZjoC8cm0Odpx8rYCgMJ6vPdrLsWbKv4aCeNXXX57PDE', 'width': 4032}]",ChIJlYF2FmkxGQ0RAEveN80Pun8,"{'compound_code': 'QW34+Q5 Lisbon', 'global_code': '8CCGQW34+Q5'}",0.0,ChIJlYF2FmkxGQ0RAEveN80Pun8,GOOGLE,"['park', 'point_of_interest', 'establishment']",0,"R. Nova dos Mercadores 301, Lisboa",{'open_now': True}
7,OPERATIONAL,"{'location': {'lat': 38.7214004, 'lng': -9.1561758}, 'viewport': {'northeast': {'lat': 38.72272182989272, 'lng': -9.154874620107279}, 'southwest': {'lat': 38.72002217010727, 'lng': -9.157574279892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Parque Canino do Jardim das Amoreiras,"[{'height': 2552, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117417353012999954204"">henrihagen</a>'], 'photo_reference': 'AeJbb3eh6ynHlub21r0MeKTPJyd0lCbhBnUqBlv3GhuwK-z6PN_z7eTOgrKau4wLF5Ma_g_b1PE42Yn5ZQKpF5FUsikKs0tNECdY57bgec7VrN0r_Bzflbm8BffZLBeMApPwzNJg7BH1Nc5etcJHyG_vrjlJxxGUOl3zHgbB8Yd48GoiVONL', 'width': 3828}]",ChIJn9LB06YzGQ0R0CDKNQrtsx8,"{'compound_code': 'PRCV+HG Lisbon', 'global_code': '8CCGPRCV+HG'}",4.0,ChIJn9LB06YzGQ0R0CDKNQrtsx8,GOOGLE,"['park', 'point_of_interest', 'establishment']",4,"Jardim das Amoreiras, Lisboa",
8,OPERATIONAL,"{'location': {'lat': 38.7481949, 'lng': -9.124487199999999}, 'viewport': {'northeast': {'lat': 38.74959757989273, 'lng': -9.123142370107278}, 'southwest': {'lat': 38.74689792010729, 'lng': -9.125842029892722}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Parque Canino da Bela Vista,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111552523781565970017"">Adriano Cintra</a>'], 'photo_reference': 'AeJbb3cFEoTXkX92kZmq4TEmcPxfkvrIxHFs66c33IetYxXynjVDsa-L97g14qTigI2SFeAjaWPLWo9twzO3rb5SCuLyUib50GJmwPTon26eiQOGur1Bff9lC6L0KL03eWrIljY0OYhRHuc4KMbjC77FpmvkQEis7r33csqyfpRtCfN5l8_P', 'width': 1920}]",ChIJHYxueRczGQ0RGc0KC9CL-vQ,"{'compound_code': 'PVXG+76 Lisbon', 'global_code': '8CCGPVXG+76'}",4.6,ChIJHYxueRczGQ0RGc0KC9CL-vQ,GOOGLE,"['park', 'point_of_interest', 'establishment']",14,"Av. Mal. António de Spinola 1950, Lisboa",
9,OPERATIONAL,"{'location': {'lat': 38.7293201, 'lng': -9.123149699999999}, 'viewport': {'northeast': {'lat': 38.73070952989272, 'lng': -9.121767870107275}, 'southwest': {'lat': 38.72800987010727, 'lng': -9.124467529892721}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/park-71.png,#4DB546,https://maps.gstatic.com/mapfiles/place_api/icons/v2/tree_pinlet,Parque Canino Alto de São João,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102004311122225251051"">Pedro Mendes</a>'], 'photo_reference': 'AeJbb3fsGi4mkaQoojFD-WHjG6xJDHgFBzpcwjH5HAI77XqTxRfc036jxJQCFuNbqmC5gvF0d_QYteCd-6bdTM8bBA0KGBgLyUQiSxsgeBtkDEK9y5obtRQTk2szYQto4_gwslqUh1pKqNCnBtDc8kkaHgm2smb2OhffmCNDxzfv3FF9zagR', 'width': 1800}]",ChIJQehVqYUzGQ0R2y9oe2Dr6VY,"{'compound_code': 'PVHG+PP Lisbon', 'global_code': '8CCGPVHG+PP'}",3.8,ChIJQehVqYUzGQ0R2y9oe2Dr6VY,GOOGLE,"['park', 'point_of_interest', 'establishment']",42,"Parada, do",
