,business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity
0,OPERATIONAL,"{'location': {'lat': 38.7326602, 'lng': -9.2163484}, 'viewport': {'northeast': {'lat': 38.73399652989273, 'lng': -9.21488532010728}, 'southwest': {'lat': 38.73129687010728, 'lng': -9.217584979892724}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,PETNESS,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104548001613160918922"">José Daniel</a>'], 'photo_reference': 'AeJbb3fOG5PU8bLlOcTl-SkhNqEOYin1rhCn0FaHscNaJ81hxxZ3ZWR0iInyfZWlHjCKwBpla4Vlx-usIQZvmC3NSreNCEhf1BcEDa56qLlY7Nfdrzz_WfC3zTfuBW7QLy0Mu-lIVOLimekWaabXn52vg2Pc8CfA-ac9tI5UjY3w5eSnjJ_w', 'width': 1080}]",ChIJb8nI5-vMHg0Ri2fppcmyGVg,"{'compound_code': 'PQMM+3F Amadora', 'global_code': '8CCGPQMM+3F'}",3.9,ChIJb8nI5-vMHg0Ri2fppcmyGVg,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",595,"Estrada do Zambujal 47A, Amadora"
1,OPERATIONAL,"{'location': {'lat': 38.7271278, 'lng': -9.142147999999999}, 'viewport': {'northeast': {'lat': 38.72850402989272, 'lng': -9.140820620107279}, 'southwest': {'lat': 38.72580437010728, 'lng': -9.143520279892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Patudaria Pet Shop,{'open_now': True},"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113990719572688887289"">A Google User</a>'], 'photo_reference': 'AeJbb3eeXBWsdPUx7-UUxQCnp0-iwbQIwocQ8olCGDeZhyXJdZZVSGke_olX7r2rb9ECU7mfZGXLuSMGwt2JuDMsNZrDpBV-29ABtJ-AAtb8VyGJn4AwQFDu-7Jvc3X-kXtC3uFNPPptXl-ayo4Ix2_WwyH2xATJPqyaG31yTkU_rlfbqweg', 'width': 1024}]",ChIJ7UCy3z0zGQ0Rr_Yp1XPtysM,"{'compound_code': 'PVG5+R4 Lisbon', 'global_code': '8CCGPVG5+R4'}",4.8,ChIJ7UCy3z0zGQ0Rr_Yp1XPtysM,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",50,"R. Bernardim Ribeiro 7A, Lisboa"
2,OPERATIONAL,"{'location': {'lat': 38.7206204, 'lng': -9.1605078}, 'viewport': {'northeast': {'lat': 38.72202812989272, 'lng': -9.15919352010728}, 'southwest': {'lat': 38.71932847010728, 'lng': -9.161893179892724}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Petblue,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116451044877182019689"">Rita Oliveira</a>'], 'photo_reference': 'AeJbb3dqrQkf86114ddAEmGZ5BOs6EZZp6wpNNS6fuqkPAPREWE8yX3AYlIh5HKOXeP-3yDP1TLJK1OK2YkHVrlfmImcQiYKmaPW6QqlIu_E2DNwvwmp7GdyXA7AmB0vM3cd3AmlaP4tjf_-RXDtrp2PBtbGyz7e6HSdIdnYQjl7hFCeK4Ko', 'width': 4032}]",ChIJLZS-TzIzGQ0RwjPetAH5UFU,"{'compound_code': 'PRCQ+7Q Lisbon', 'global_code': '8CCGPRCQ+7Q'}",4.8,ChIJLZS-TzIzGQ0RwjPetAH5UFU,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",41,"Rua Dom João V 31, Lisboa"
3,OPERATIONAL,"{'location': {'lat': 38.7176188, 'lng': -9.1571182}, 'viewport': {'northeast': {'lat': 38.71900917989272, 'lng': -9.155856920107277}, 'southwest': {'lat': 38.71630952010728, 'lng': -9.158556579892721}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,PetBelo,{'open_now': True},"[{'height': 1167, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118043873124629296759"">A Google User</a>'], 'photo_reference': 'AeJbb3c8C2tJ3WYHHVtPevDMe_FQimBpHJVhKZ9cxIzXfYA6P92Dad9hoG5TzanSD9SezP5YvC4rIAGrhXVcj4B-iU_iVabNpVNbalnVII7oShMloTNITSO56C8Zf8LGQBqlvvGTqTUJf0-xqcqziR3--TCzA4z0c5EuJSVyyKbEbGKvnno0', 'width': 1169}]",ChIJaW9OS2wzGQ0RA9I7a_VzpJg,"{'compound_code': 'PR9V+25 Lisbon', 'global_code': '8CCGPR9V+25'}",5.0,ChIJaW9OS2wzGQ0RA9I7a_VzpJg,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",28,"Tv. de Santa Quitéria 69C, Lisboa"
4,OPERATIONAL,"{'location': {'lat': 38.7386518, 'lng': -9.1274108}, 'viewport': {'northeast': {'lat': 38.74009487989272, 'lng': -9.126252120107278}, 'southwest': {'lat': 38.73739522010728, 'lng': -9.128951779892722}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Pets & Pools,{'open_now': True},"[{'height': 768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104275848367565223571"">A Google User</a>'], 'photo_reference': 'AeJbb3e3szZjq_-qHEwuX_fbVmzxnFHUbXPqjNfhuNagMk8vgTQt7Ia-Pk7SlwovLpxHY7I_w2SJYbq9A5QBGtdyRlZ3Y2BHEaNB1kiMa6hG4w8aSL5yCXsRrsY4ka1Saf55X1I31QPaNKiM2wCC9Dlw5K8Zr0P1VvwuNBaScVldSvrPj6Eq', 'width': 1024}]",ChIJq3kd5r4zGQ0RvFr5P33KQuI,"{'compound_code': 'PVQF+F2 Lisbon', 'global_code': '8CCGPVQF+F2'}",4.4,ChIJq3kd5r4zGQ0RvFr5P33KQuI,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",22,"Avenida Afonso Costa 46C Lojas B/C, Lisboa"
5,OPERATIONAL,"{'location': {'lat': 38.7651499, 'lng': -9.1662783}, 'viewport': {'northeast': {'lat': 38.76655802989273, 'lng': -9.164863620107278}, 'southwest': {'lat': 38.76385837010728, 'lng': -9.167563279892722}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Dogs' Wish,{'open_now': True},"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115548307792046915441"">Dogs&#39; Wish</a>'], 'photo_reference': 'AeJbb3f5pmMyj3X1MjakSPdW8ZqU3-V1AUephdkNPlfHvEjzehzgXboeDNpC32JS4AXzvvHe7ho09xpAkrPgowXlEmdz1TyweuY_uDA5A51w6K6HP7pxBMiEApaHiggayzfhYoTeuMadhbu4ZP4WayP5d-z9nRqEkV7bthA4bb0J65ADZwws', 'width': 960}]",ChIJsQXIMegyGQ0RqfZ4vIZ-g3E,"{'compound_code': 'QR8M+3F Lisbon', 'global_code': '8CCGQR8M+3F'}",4.6,ChIJsQXIMegyGQ0RqfZ4vIZ-g3E,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",206,"morada estacionamento, R. António Livramento 1 Loja 38B, Lisboa"
6,OPERATIONAL,"{'location': {'lat': 38.7662214, 'lng': -9.1240664}, 'viewport': {'northeast': {'lat': 38.76764622989273, 'lng': -9.12288462010728}, 'southwest': {'lat': 38.76494657010728, 'lng': -9.125584279892724}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Buddy's Pet Shop,{'open_now': True},"[{'height': 1168, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106115885975952113305"">Carlos Alberto</a>'], 'photo_reference': 'AeJbb3d3knYyuzBku5uipZLPmihTaWLE4f9L-HQdiQwr_NhXLtNEchOo2rE_0FPaEaNVMzLQeEYl0435SdH2caJGYXH1PXPuW4KUauoRHnVsiQtKdyZFo_1-IsUEOGhIaL7XjJO1PWJSbEsKXxUiJxUFG8_Q9FXN_vYn0M_fuc2EN-S3u_5f', 'width': 1080}]",ChIJU-hrBkgyGQ0R1MXhZHyHXPM,"{'compound_code': 'QV8G+F9 Lisbon', 'global_code': '8CCGQV8G+F9'}",4.8,ChIJU-hrBkgyGQ0R1MXhZHyHXPM,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",63,"R. Cidade da Beira 46J, Lisboa"
7,OPERATIONAL,"{'location': {'lat': 38.71184849999999, 'lng': -9.1363897}, 'viewport': {'northeast': {'lat': 38.71316832989272, 'lng': -9.135065220107279}, 'southwest': {'lat': 38.71046867010727, 'lng': -9.137764879892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Pet Outlet,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114914885281063008526"">Juleng Taing</a>'], 'photo_reference': 'AeJbb3fsWxfJjasloABJ00CFzlIcguJ_WGrNJryEdTNyNiwTfj2q4_AoaV4SkaqhlmQiKasXAHvnRpExP0V3YVYz5Pd9pq53Ox2Hv36t0_tATgS2axwm35RB5TWuPmT7dzdCP4FLLsL30rFI-xWXwbzxkUpweseVrNaaVemszpSvW7m73yXb', 'width': 4032}]",ChIJPfZaRHg0GQ0RSbq4QqeqXe8,"{'compound_code': 'PV67+PC Lisbon', 'global_code': '8CCGPV67+PC'}",4.4,ChIJPfZaRHg0GQ0RSbq4QqeqXe8,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",164,"R. dos Fanqueiros 210 212, Lisboa"
8,OPERATIONAL,"{'location': {'lat': 38.7077795, 'lng': -9.1671798}, 'viewport': {'northeast': {'lat': 38.70913857989273, 'lng': -9.165915270107277}, 'southwest': {'lat': 38.70643892010728, 'lng': -9.16861492989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Perfect Pet,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110990139711766977199"">Célia Santos</a>'], 'photo_reference': 'AeJbb3ehCXoDa9G9WEghTx7QiX1TOs8pWbmDh12w8wLhZbXYD-WPFKf-UzE-h729y1Ov6I1MNZBRdCef8b1pZlWrI7-ws491dU7QKvGagAuNiRXCmfUot0bsdHBQSvPB0uFMsVd6yPtdIKhvEXWORRv0ENU5jjNiF3--buj1ZEnnuQJ7vaYh', 'width': 4160}]",ChIJ6xkfe580GQ0REr9-kgT0-cA,"{'compound_code': 'PR5M+44 Lisbon', 'global_code': '8CCGPR5M+44'}",4.4,ChIJ6xkfe580GQ0REr9-kgT0-cA,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",84,"Av. Infante Santo 56A, Lisboa"
9,OPERATIONAL,"{'location': {'lat': 38.74561569999999, 'lng': -9.1425136}, 'viewport': {'northeast': {'lat': 38.74699732989272, 'lng': -9.141206020107278}, 'southwest': {'lat': 38.74429767010727, 'lng': -9.143905679892722}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Wonder Dog,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101306471354524283212"">A Google User</a>'], 'photo_reference': 'AeJbb3dROzzk9SGcHxk5Cez5LEkbDntvIbUyxmv-OSNYd24ha_XQLSfbGELD-CLLX2kNCirx7UKXRj4d0szrAkvQgMPNIIwssMqEsJ9EwW70XJvIGiWThpKdlTKYceAhqd0N-hHvDc1DU8Mq2kYYGYfKc37ZB-QrFCeGXjFpVPP5bIOJ4sR9', 'width': 1440}]",ChIJO6C90iUzGQ0RyQzC-paEnTI,"{'compound_code': 'PVW4+6X Lisbon', 'global_code': '8CCGPVW4+6X'}",5.0,ChIJO6C90iUzGQ0RyQzC-paEnTI,GOOGLE,"['pet_store', 'store', 'point_of_interest', 'establishment']",14,"Tv. Henrique Cardoso 55 a, Lisboa"
